id; compound; class; paraphrase; answer
0; glove box; CONT-R; a box that contains gloves; <|begin_of_text|><|im_start|>user Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'glove box'? 1. a box that produces gloves; 2. a box that is located in gloves; 3. a box that contains gloves; 4. a box intended for gloves; 5. a box that gloves produce; 6. a box that is about gloves; 7. a box that is part of gloves; 8. a box that is composed of gloves; 9. a box that uses gloves; Answer: <|im_end|> <|im_start|>assistant 3. a box that contains gloves;<|im_end|>
1; jewel box; CONT-R; a box that contains jewels; <|begin_of_text|><|im_start|>user Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'jewel box'? 1. a box that uses jewels; 2. a box that contains jewels; 3. a box intended for jewels; 4. a box that jewels produce; 5. a box that is located in jewels; 6. a box that is part of jewels; 7. a box that is about jewels; 8. a box that produces jewels; 9. a box that is composed of jewels; Answer: <|im_end|> <|im_start|>assistant Option 1: "an oil that uses olives" is the most likely description of olive oil. Olive oil is a type of oil that is
2; lunch box; CONT-R; a box that contains a lunch; <|begin_of_text|><|im_start|>user Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'lunch box'? 1. a box that uses a lunch; 2. a box that a lunch produces; 3. a box that contains a lunch; 4. a box that is composed of a lunch; 5. a box that is located in a lunch; 6. a box that is about a lunch; 7. a box that is part of a lunch; 8. a box intended for a lunch; 9. a box that produces a lunch; Answer: <|im_end|> <|im_start|>assistant 3. a box that contains a lunch;<|im_end|>
3; tool box; CONT-R; a box that contains tools; <|begin_of_text|><|im_start|>user Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'tool box'? 1. a box that is part of tools; 2. a box that is composed of tools; 3. a box that is located in tools; 4. a box that contains tools; 5. a box that produces tools; 6. a box that is about tools; 7. a box intended for tools; 8. a box that uses tools; 9. a box that tools produce; Answer: <|im_end|> <|im_start|>assistant 1. a box that is part of tools;<|im_end|>
4; file cabinet; CONT-R; a cabinet that contains files; <|begin_of_text|><|im_start|>user Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'file cabinet'? 1. a cabinet that is about files; 2. a cabinet that contains files; 3. a cabinet intended for files; 4. a cabinet that uses files; 5. a cabinet that files produce; 6. a cabinet that produces files; 7. a cabinet that is part of files; 8. a cabinet that is composed of files; 9. a cabinet that is located in files; Answer: <|im_end|> <|im_start|>assistant 1. a cabinet that is about files;<|im_end|>
5; refugee camp; CONT-R; a camp that contains refugees; <|begin_of_text|><|im_start|>user Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of'refugee camp'? 1. a camp that is about refugees; 2. a camp that is located in refugees; 3. a camp that is part of refugees; 4. a camp that contains refugees; 5. a camp intended for refugees; 6. a camp that uses refugees; 7. a camp that refugees produce; 8. a camp that is composed of refugees; 9. a camp that produces refugees; Answer: <|im_end|> <|im_start|>assistant 1. a camp that is about refugees;<|im_end|>
6; beverage can; CONT-R; a can that contains a beverage; <|begin_of_text|><|im_start|>user Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'beverage can'? 1. a can intended for a beverage; 2. a can that produces a beverage; 3. a can that a beverage produces; 4. a can that contains a beverage; 5. a can that is part of a beverage; 6. a can that is located in a beverage; 7. a can that is about a beverage; 8. a can that is composed of a beverage; 9. a can that uses a beverage; Answer: <|im_end|> <|im_start|>assistant 1. a can intended for a beverage;<|im_end|>
7; gas canister; CONT-R; a canister that contains gas; <|begin_of_text|><|im_start|>user Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'gas canister'? 1. a canister that is composed of gas; 2. a canister that is about gas; 3. a canister that is part of gas; 4. a canister that uses gas; 5. a canister intended for gas; 6. a canister that produces gas; 7. a canister that gas produces; 8. a canister that contains gas; 9. a canister that is located in gas; Answer: <|im_end|> <|im_start|>assistant 1. a canister that is composed of gas;<|im_end|>
8; audio cassette; CONT-R; a cassette that contains audio; <|begin_of_text|><|im_start|>user Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'audio cassette'? 1. a cassette that produces audio; 2. a cassette that contains audio; 3. a cassette intended for audio; 4. a cassette that is part of audio; 5. a cassette that is about audio; 6. a cassette that is composed of audio; 7. a cassette that uses audio; 8. a cassette that is located in audio; 9. a cassette that audio produces; Answer: <|im_end|> <|im_start|>assistant 1. a cassette that produces audio;<|im_end|>
9; video cassette; CONT-R; a cassette that contains video; <|begin_of_text|><|im_start|>user Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'video cassette'? 1. a cassette that uses video; 2. a cassette that is located in video; 3. a cassette that produces video; 4. a cassette that is about video; 5. a cassette that is composed of video; 6. a cassette intended for video; 7. a cassette that is part of video; 8. a cassette that video produces; 9. a cassette that contains video; Answer: <|im_end|> <|im_start|>assistant Option 3: A cassette that produces video.<|im_end|>
